date,month,year,inflation_rate
2020-04-01,April,2020,-0.16
2020-05-01,May,2020,-0.29
2020-06-01,June,2020,0.03
2020-07-01,July,2020,0.33
2020-08-01,August,2020,0.41
2020-09-01,September,2020,-0.26
2020-10-01,October,2020,0.23
2020-11-01,November,2020,0.09
2020-12-01,December,2020,0.67
2021-01-01,January,2021,0.8
2021-02-01,February,2021,0.12
2021-03-01,March,2021,-0.19
2021-04-01,April,2021,-0.18
2021-05-01,May,2021,0.09
2021-06-01,June,2021,0.2
2021-07-01,July,2021,0.14
2021-08-01,August,2021,-0.53
2021-09-01,September,2021,0.07
2021-10-01,October,2021,0.07
2021-11-01,November,2021,0.53
2021-12-01,December,2021,0.99
2022-01-01,January,2022,0.38
2022-02-01,February,2022,-0.4
2022-03-01,March,2022,0.93
2022-04-01,April,2022,0.81
2022-05-01,May,2022,0.58
2022-06-01,June,2022,1.22
2022-07-01,July,2022,0.75
2022-08-01,August,2022,-0.34
2022-09-01,September,2022,1.35
2022-10-01,October,2022,-0.5
2022-11-01,November,2022,0.01
2022-12-01,December,2022,0.62
2023-01-01,January,2023,0.82
2023-02-01,February,2023,0.16
2023-03-01,March,2023,0.07
2023-04-01,April,2023,0.3
2023-05-01,May,2023,-0.11
2023-06-01,June,2023,0.17
2023-07-01,July,2023,0.03
2023-08-01,August,2023,0.34
2023-09-01,September,2023,0.33
2023-10-01,October,2023,0.28
2023-11-01,November,2023,1.05
2023-12-01,December,2023,0.02
2024-01-01,January,2024,-0.28
2024-02-01,February,2024,0.46
2024-03-01,March,2024,0.17
2024-04-01,April,2024,0.04
2024-05-01,May,2024,0.08
2024-06-01,June,2024,-0.01
2024-07-01,July,2024,-0.01
2024-08-01,August,2024,0.26
2024-09-01,September,2024,0.19
2024-10-01,October,2024,0.16
2024-11-01,November,2024,0.24
2024-12-01,December,2024,0.36
2025-01-01,January,2025,-0.8
2025-02-01,February,2025,-0.59
2025-03-01,March,2025,1.54
2025-04-01,April,2025,1.27
2025-05-01,May,2025,-0.51
2025-06-01,June,2025,0.09
2025-07-01,July,2025,0.08
2025-08-01,August,2025,0.19
2025-09-01,September,2025,0.37
2025-10-01,October,2025,0.22
2025-11-01,November,2025,0.19
2025-12-01,December,2025,0.43
